Date_Time,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6
53:14.9,0,0,0,0,0,0
53:15.0,-85,0,0,0,0,0
53:15.1,-86,0,0,0,0,0
53:15.2,-86,0,0,0,0,0
53:15.3,-86,-77,0,0,0,0
53:15.4,-86,-77,-79,-84,-84,0
53:15.5,-86,-77,-79,-84,-84,0
53:15.6,-86,-77,-79,-84,-84,0
53:15.7,-86,-77,-79,-84,-84,-80
53:15.8,-86,-77,-79,-84,-84,-80
53:15.9,-86,-77,-79,-84,-84,-80
53:16.0,-86,-77,-79,-84,-84,-80
53:16.2,-86,-74,-79,-84,-84,-80
53:16.3,-82,-74,-84,-84,-84,-88
53:16.4,-82,-75,-84,-84,-84,-87
53:16.5,-82,-75,-84,-84,-82,-87
53:16.6,-82,-75,-84,-86,-82,-87
53:16.7,-82,-75,-84,-86,-82,-87
53:16.8,-82,-76,-84,-86,-82,-87
53:16.9,-82,-76,-84,-86,-82,-87
53:17.0,-82,-76,-84,-86,-82,-87
53:17.1,-82,-76,-84,-86,-82,-87
53:17.2,-82,-80,-84,-86,-82,-87
53:17.4,-82,-80,-80,-85,-77,-87
53:17.5,-82,-80,-80,-85,-77,-87
53:17.6,-82,-80,-85,-85,-77,-87
53:17.7,-82,-80,-85,-85,-77,-87
53:17.8,-79,-80,-85,-85,-77,-81
53:17.9,-79,-80,-85,-85,-77,-81
53:18.0,-79,-80,-82,-85,-77,-81
53:18.1,-79,-80,-83,-85,-77,-81
53:18.2,-79,-80,-83,-85,-77,-81
53:18.3,-79,-82,-83,-85,-77,-81
53:18.4,-85,-81,-83,-87,-84,-81
53:18.6,-85,-81,-83,-87,-84,-81
53:18.7,-85,-81,-83,-87,-84,-81
53:18.8,-85,-79,-83,-87,-84,-81
53:18.9,-85,-78,-84,-81,-88,-81
53:19.0,-85,-78,-84,-81,-88,-81
53:19.1,-85,-78,-84,-81,-88,-82
53:19.2,-85,-78,-84,-81,-88,-82
53:19.3,-85,-78,-84,-81,-88,-82
53:19.4,-85,-78,-84,-81,-88,-82
53:19.5,-85,-76,-88,-85,-88,-82
53:19.6,-85,-76,-88,-85,-88,-82
53:19.8,-85,-76,-88,-85,-88,-82
53:19.9,-85,-76,-88,-89,-89,-78
53:20.0,-85,-76,-88,-89,-89,-78
53:20.1,-85,-76,-88,-89,-89,-78
53:20.2,-85,-76,-88,-89,-89,-78
53:20.3,-85,-71,-82,-89,-75,-81
53:20.4,-85,-71,-82,-89,-75,-81
53:20.5,-85,-71,-82,-89,-75,-81
53:20.6,-85,-71,-82,-90,-75,-84
53:20.7,-85,-71,-82,-90,-75,-84
53:20.8,-85,-71,-82,-90,-75,-84
53:20.9,-85,-71,-82,-90,-75,-84
53:21.1,-85,-71,-82,-90,-75,-82
53:21.2,-85,-71,-82,-90,-75,-82
53:21.3,-85,-71,-82,-90,-75,-82
53:21.4,-85,-64,-78,-86,-82,-82
53:21.5,-85,-64,-78,-86,-82,-82
53:21.6,-85,-64,-78,-86,-82,-82
53:21.7,-85,-64,-78,-86,-82,-82
53:21.8,-85,-71,-78,-86,-82,-82
53:21.9,-85,-71,-78,-86,-82,-82
53:22.0,-85,-71,-78,-86,-82,-82
53:22.1,-85,-64,-78,-86,-82,-82
53:22.2,-85,-64,-78,-86,-82,-82
53:22.4,-85,-64,-78,-86,-82,-82
53:22.5,-85,-64,-78,-86,-82,-82
53:22.6,-85,-64,-78,-86,-82,-82
53:22.7,-85,-64,-78,-86,-82,-82
53:22.8,-85,-64,-78,-86,-82,-82
53:22.9,-85,-72,-78,-86,-82,-82
53:23.0,-85,-72,-78,-83,-88,-82
53:23.1,-85,-72,-78,-83,-88,-82
53:23.2,-85,-72,-78,-83,-83,-82
53:23.3,-85,-71,-78,-88,-83,-82
53:23.4,-85,-71,-78,-88,-83,-82
53:23.5,-85,-71,-78,-88,-83,-82
53:23.7,-85,-71,-76,-88,-83,-90
53:23.8,-85,-71,-76,-88,-83,-87
53:23.9,-85,-71,-76,-88,-83,-87
53:24.0,-85,-71,-76,-88,-83,-87
53:24.1,-84,-80,-76,-83,-87,-87
53:24.2,-84,-80,-76,-83,-87,-87
53:24.3,-84,-80,-76,-83,-87,-87
53:24.4,-84,-80,-76,-83,-87,-94
53:24.5,-84,-85,-76,-83,-87,-92
53:24.6,-84,-85,-76,-83,-87,-92
53:24.7,-84,-85,-76,-83,-87,-92
53:24.8,-84,-85,-76,-83,-87,-92
53:25.0,-84,-85,-76,-83,-87,-92
53:25.1,-84,-85,-76,-83,-87,-92
53:25.2,-84,-85,-76,-83,-87,-92
53:25.3,-84,-82,-76,-83,-87,-92
53:25.4,-84,-81,-69,-84,-87,-92
53:25.5,-84,-81,-69,-84,-87,-92
53:25.6,-84,-81,-69,-84,-87,-92
53:25.7,-84,-81,-69,-84,-79,-87
53:25.8,-84,-82,-69,-84,-79,-87
53:25.9,-92,-82,-69,-84,-79,-87
53:26.0,-92,-82,-75,-84,-79,-87
53:26.2,-92,-82,-75,-84,-79,-87
53:26.3,-92,-82,-75,-84,-79,-87
53:26.4,-92,-79,-75,-84,-79,-87
53:26.5,-92,-79,-79,-84,-81,-87
53:26.6,-92,-79,-79,-84,-81,-87
53:26.7,-92,-79,-79,-86,-81,-87
53:26.8,-92,-94,-79,-86,-81,-87
53:26.9,-92,-94,-79,-86,-81,-87
53:27.0,-92,-94,-79,-86,-81,-87
53:27.1,-92,-94,-79,-80,-81,-87
53:27.2,-92,-94,-65,-78,-81,-83
53:27.3,-92,-94,-65,-78,-81,-83
53:27.4,-92,-88,-65,-78,-81,-83
53:27.6,-92,-87,-65,-76,-88,-83
53:27.7,-92,-87,-65,-76,-88,-83
53:27.8,-92,-87,-65,-76,-88,-83
53:27.9,-92,-87,-71,-76,-88,-94
53:28.0,-92,-87,-71,-76,-88,-94
53:28.1,-92,-87,-71,-76,-88,-94
53:28.2,-92,-87,-76,-75,-88,-94
53:28.3,-92,-87,-76,-75,-88,-94
53:28.4,-92,-87,-76,-75,-88,-94
53:28.5,-92,-87,-76,-75,-88,-94
53:28.7,-92,-87,-76,-75,-88,-94
53:28.8,-92,-87,-76,-75,-88,-94
53:28.9,-92,-87,-76,-75,-88,-94
53:29.0,-92,-87,-76,-75,-88,-94
53:29.1,-92,-87,-76,-75,-88,-94
53:29.2,-92,-87,-76,-75,-88,-94
53:29.3,-92,-87,-76,-75,-88,-94
53:29.4,-92,-87,-86,-79,-85,-94
53:29.5,-92,-87,-86,-79,-85,-94
53:29.6,-92,-87,-86,-79,-85,-94
53:29.7,-92,-87,-86,-71,-85,-94
53:29.9,-87,-84,-77,-71,-85,-86
53:30.0,-87,-84,-77,-71,-85,-86
53:30.1,-87,-84,-77,-71,-85,-86
53:30.2,-87,-84,-77,-69,-85,-86
53:30.3,-87,-84,-77,-69,-85,-86
53:30.4,-87,-84,-77,-69,-85,-86
53:30.5,-87,-84,-77,-69,-85,-86
53:30.6,-87,-87,-77,-69,-85,-86
53:30.7,-87,-88,-77,-71,-90,-86
53:30.8,-87,-88,-77,-71,-90,-86
53:30.9,-87,-88,-77,-71,-90,-86
53:31.0,-87,-88,-77,-71,-90,-86
53:31.2,-87,-88,-77,-71,-90,-86
53:31.3,-87,-81,-77,-71,-90,-86
53:31.4,-87,-81,-87,-71,-90,-86
53:31.5,-87,-81,-87,-71,-90,-86
53:31.6,-87,-81,-87,-71,-90,-86
53:31.7,-87,-81,-87,-71,-90,-86
53:31.8,-87,-81,-75,-76,-77,-86
53:31.9,-87,-81,-75,-76,-77,-86
53:32.0,-87,-81,-75,-76,-77,-86
53:32.1,-87,-81,-75,-76,-77,-82
53:32.2,-87,-81,-75,-76,-77,-81
53:32.3,-87,-81,-75,-76,-77,-81
53:32.5,-87,-76,-75,-82,-72,-81
53:32.6,-87,-76,-75,-82,-72,-81
53:32.7,-87,-76,-75,-82,-72,-81
53:32.8,-87,-83,-75,-82,-72,-81
53:32.9,-87,-83,-75,-82,-73,-85
53:33.0,-87,-83,-75,-82,-73,-85
53:33.1,-87,-83,-75,-82,-73,-85
53:33.2,-87,-86,-75,-82,-73,-85
53:33.3,-88,-86,-80,-84,-73,-80
53:33.4,-88,-86,-80,-84,-73,-80
53:33.5,-88,-86,-80,-84,-73,-80
53:33.7,-88,-86,-80,-84,-73,-80
53:33.8,-88,-86,-80,-84,-73,-80
53:33.9,-88,-86,-84,-84,-73,-80
53:34.0,-88,-86,-84,-84,-63,-80
53:34.1,-88,-86,-84,-84,-63,-80
